Timestamp,SensorID,SensorValue,participant_id,task_id
2008-02-27 12:43:27.416392,M08,ON,1,0
2008-02-27 12:43:27.848100,M07,ON,1,0
2008-02-27 12:43:28.487061,M09,ON,1,0
2008-02-27 12:43:29.222889,M14,ON,1,0
2008-02-27 12:43:29.499828,M23,OFF,1,0
2008-02-27 12:43:30.159565,M01,OFF,1,0
2008-02-27 12:43:30.285610,M07,OFF,1,0
2008-02-27 12:43:31.491254,M13,ON,1,0
2008-02-27 12:43:31.491254,M08,OFF,1,0
2008-02-27 12:43:32.189040,M09,OFF,1,0
2008-02-27 12:43:33.108756,I08,ABSENT,1,0
2008-02-27 12:43:33.587637,M14,OFF,1,0
2008-02-27 12:43:59.493194,M13,OFF,1,0
2008-02-27 12:44:03.717043,M13,ON,1,0
2008-02-27 12:44:09.915839,M13,ON,1,0
2008-02-27 12:44:15.692528,M13,OFF,1,0
2008-02-27 12:44:17.967239,M13,ON,1,0
2008-02-27 12:44:25.496747,M13,OFF,1,0
2008-02-27 12:44:27.812921,M13,ON,1,0
2008-02-27 12:44:28.829018,M13,OFF,1,0
2008-02-27 12:44:29.582079,M13,ON,1,0
2008-02-27 12:44:35.421950,M13,OFF,1,0
2008-02-27 12:44:35.836830,M13,ON,1,0
2008-02-27 12:44:40.482497,M13,OFF,1,0
2008-02-27 12:44:46.613785,M13,ON,1,0
2008-02-27 12:44:48.600180,M13,OFF,1,0
2008-02-27 12:44:50.625572,M13,ON,1,0
2008-02-27 12:45:00.188650,M13,ON,1,0
2008-02-27 12:45:14.498824,M13,OFF,1,0
2008-02-27 12:45:16.512764,M13,ON,1,0
2008-02-27 12:45:32.441850,M13,OFF,1,0
2008-02-27 12:45:32.688234,M13,ON,1,0
2008-02-27 12:45:38.764548,M13,OFF,1,0
2008-02-27 12:45:39.665270,M13,ON,1,0
2008-02-27 12:45:45.496836,M13,OFF,1,0
2008-02-27 12:45:47.883720,M13,ON,1,0
2008-02-27 12:45:59.908664,M13,OFF,1,0
2008-02-27 12:46:01.652157,M13,ON,1,0
2008-02-27 12:46:04.513323,M13,OFF,1,0
